title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,url,categoryName,
Kost HDR putra 3,5,6,Jl. Teratai V RT 04 RW 12 Kel,Bandung City,West Java,ID,,+62 898-2920-527,Lodge,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20HDR%20putra%203&query_place_id=ChIJz31oLxHDaC4R4QW4ENxhYJA,Lodge,
Rumah Kos Satata Panyileukan Bandung ( Putra ),5,7,Jl. Sakola II No.21A,Bandung City,West Java,ID,,+62 888-0220-1565,Religious lodging,,,,,,,https://www.google.com/maps/search/?api=1&query=Rumah%20Kos%20Satata%20Panyileukan%20Bandung%20(%20Putra%20)&query_place_id=ChIJN7edbivDaC4R6V7kghwg918,Religious lodging,
Kost Asri Putra,5,9,"komplek Patra Asri, Blk. AB No.08, RT.003/RW.2",Bandung City,West Java,ID,,+62 821-1545-7323,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Asri%20Putra&query_place_id=ChIJ43WXjVzdaC4RiFeHVHJ2OFs,Boarding house,
Kost Bumi Rahayu Panyileukan,4.9,45,Jl. Terusan Panyileukan Gg.Samian No.7,Bandung City,West Java,ID,,,Cottage rental,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Bumi%20Rahayu%20Panyileukan&query_place_id=ChIJw2U3MOHDaC4RcXw2flYmJ1E,Cottage rental,
Kost Shafira 2,4.9,11,3P86+5MG,Bandung City,West Java,ID,,,Indoor lodging,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Shafira%202&query_place_id=ChIJP485TB_DaC4RoINhpg4axuQ,Indoor lodging,
Kost Galuh UIN Bandung,4.7,30,Jl. Manisi No.73,Bandung City,West Java,ID,,+62 812-9112-2420,Hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Galuh%20UIN%20Bandung&query_place_id=ChIJZTnBEinDaC4RpxvSDwsuaE0,Hotel,
Kost 3RS Blok Pilar,5,13,Jl. Terusan Panyileukan,Bandung City,West Java,ID,,+62 812-2150-8866,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%203RS%20Blok%20Pilar&query_place_id=ChIJlQoVGHbDaC4R1je91ttQEOA,Homestay,
THE KOSAN Kost Bandung,5,25,"Komp. Bumi Panyileukan Jl. Sehati 10 No.5, RT.04/RW.09",Bandung City,West Java,ID,,+62 878-2145-0102,Boarding house,Indoor lodging,,,,,,https://www.google.com/maps/search/?api=1&query=THE%20KOSAN%20Kost%20Bandung&query_place_id=ChIJF_WA7QvDaC4RdfYKuSAmCXo,Boarding house,
Kost Pak Heri,4.9,33,Jl. Babakansari No.79,Bandung City,West Java,ID,,,Lodging,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Pak%20Heri&query_place_id=ChIJKwS_R2DDaC4Rlfe_MKlLXDs,Lodging,
Kos Putra,5,1,Gg. Bakti 5 No.4,Bandung City,West Java,ID,,+62 821-1589-3394,Housing society,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20Putra&query_place_id=ChIJpRHyIQDDaC4RSnNSiAJuiJU,Housing society,
Kost Almuktafa,5,10,"Jl. AH. Nasution, RT.:01 RW:06/RW.No 147",Bandung City,West Java,ID,,+62 821-2702-1001,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Almuktafa&query_place_id=ChIJS3XUhUvDaC4RUf6BLSpjk3U,Boarding house,
Kost Hidayah,4.5,16,Jl. Sakola II,Bandung City,West Java,ID,https://mamikos.com/room/kost-kota-bandung-kost-campur-murah-kost-hidayah-panyileukan-bandung-1,+62 877-0065-0152,Lodge,Cottage rental,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Hidayah&query_place_id=ChIJr-mgNFvDaC4RL12TRY3cFEY,Lodge,
