Keyword,Area,Universitas Terdekat,Nama,Alamat,Rating,Telepon,Website,Link,Latitude,Longitude
kos Ciumbuleuit Bandung,Ciumbuleuit,UNPAR,Kos BJ 19 Kos dekat Unpar 3 menit jalan kaki,Jl. Bukit Jarian No.19,4.7,+62 821-1313-1183,https://www.tiktok.com/@kos.bj19,https://www.google.com/maps/search/?api=1&query=Kos%20BJ%2019%20Kos%20dekat%20Unpar%203%20menit%20jalan%20kaki&query_place_id=ChIJk6WiLPDmaC4RO-tngNPV38M,,
kos Cibiru / Panyileukan Bandung,Cibiru / Panyileukan,UIN Sunan Gunung Djati,KARYAIN Kost - Cibiru Manisi (Khusus Putri),"Jl. Sukasari No.30, RT.02/RW.10",4.8,+62 857-9400-0980,http://karyainkost.com/,https://www.google.com/maps/search/?api=1&query=KARYAIN%20Kost%20-%20Cibiru%20Manisi%20(Khusus%20Putri)&query_place_id=ChIJH6yY1D_paC4RIAl9gz8Z_YA,,
kos Sukajadi / Pasteur Bandung,Sukajadi / Pasteur,Maranatha / ITB Ganesha,Kost Putra Ibu Bambang Sukajadi,Jl. Karang Layung Dalam No.12,4.7,+62 857-7018-1984,https://mamikos.com/room/kost-kota-bandung-kost-putra-murah-kost-ibu-bambang-tipe-a-sukajadi-bandung,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20Ibu%20Bambang%20Sukajadi&query_place_id=ChIJLfjUem_naC4Rov6wgSoBdzM,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost Putra Kiro,Jl. Waas A No.13,4.8,+62 812-1888-7742,https://mamikos.com/room/kost-bandung-kost-putra-murah-kost-kiro-waas-a-batununggal-bandung,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20Kiro&query_place_id=ChIJ8de5kkjpaC4RAhte1kK2z0c,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kosan Annisa (Khusus Putra / Laki),Jl. Kebun Binatang No.24/56 RT 03/07,4.7,+62 813-2131-0888,https://mamikos.com/room/kost-bandung-kost-putra-eksklusif-kost-annisa-coblong-bandung#/,https://www.google.com/maps/search/?api=1&query=Kosan%20Annisa%20(Khusus%20Putra%20%2F%20Laki)&query_place_id=ChIJgdSByp3naC4R82gKwKCG-oQ,,
kos Gegerkalong / Setiabudi Bandung,Gegerkalong / Setiabudi,UPI Setiabudi / POLBAN,Graha Setiabudi Bandung Kostan,"Jl. Dr. Setiabudi No.80A, RT.03/RW.04",4.8,+62 858-7188-0037,https://sites.google.com/view/grahasetiabudi/home,https://www.google.com/maps/search/?api=1&query=Graha%20Setiabudi%20Bandung%20Kostan&query_place_id=ChIJfaaPdvHnaC4RYo1ejn7sR1o,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost D'Homey,"Puri Syailendra, Jl. Terusan Setraria 2 Komplek No.32",4.9,+62 811-8325-758,https://mamikos.com/room/kost-bandung-kost-campur-eksklusif-kost-dhomey-1-tipe-a-sukajadi-bandung-1,https://www.google.com/maps/search/?api=1&query=Kost%20D'Homey&query_place_id=ChIJpc1i6-rnaC4RbtousAOZ2q8,,
kos Ciumbuleuit Bandung,Ciumbuleuit,UNPAR,Sakura Kost Unpar,Jl. Ranca Bentang III No.126,4,+62 899-9725-872,http://sakurakostunpar.univer.se/,https://www.google.com/maps/search/?api=1&query=Sakura%20Kost%20Unpar&query_place_id=ChIJTQHZau_maC4RzJJSgQBoUMU,,
kos Sekeloa Bandung,Sekeloa,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Kos Nada Putri,Jl. Sekeloa Sel. I Gg. Loa I No.26A,4.8,+62 811-670-725,https://linktr.ee/KosNadaPutri,https://www.google.com/maps/search/?api=1&query=Kos%20Nada%20Putri&query_place_id=ChIJcRv0sdHnaC4Reih_jFzaAXQ,,
kos Ciumbuleuit Bandung,Ciumbuleuit,UNPAR,Kost Putri Wisma C149,Jl. Ciumbuleuit No.149,4.9,+62 811-8468-000,https://mamikos.com/room/kost-kota-bandung-kost-putri-eksklusif-kost-wisma-c149-cidadap-bandung,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Wisma%20C149&query_place_id=ChIJN137JRnnaC4RaxB3cWzG8Wc,,
kos Ciumbuleuit Bandung,Ciumbuleuit,UNPAR,KOST MAHASISWA UNPAR,Jl. Menjangan Masuk Komplek PU No.5,5,+62 811-8119-595,https://mamikos.com/room/kost-bandung-kost-campur-eksklusif-kost-jalan-menjangan-cidadap-bandung-1,https://www.google.com/maps/search/?api=1&query=KOST%20MAHASISWA%20UNPAR&query_place_id=ChIJXW76zprnaC4RopI1Q3UU-sw,,
kost dekat ITB Ganesha,Bandung (Lainnya),ITB Ganesha,ITB Career Center,GKU Timur ITB Jl. Ganesha No.10 Building Ground Floor,4.1,+62 22 2509162,https://karir.itb.ac.id/,https://www.google.com/maps/search/?api=1&query=ITB%20Career%20Center&query_place_id=ChIJwV1bplDmaC4RfObKU7PQVto,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kostan Pak Anto,Jl. Sirnamanah Gg. Aki Nari No.2/181,4.4,+62 815-6395-3220,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-pak-anto-tipe-a-sukajadi-bandung,https://www.google.com/maps/search/?api=1&query=Kostan%20Pak%20Anto&query_place_id=ChIJn_REo73naC4RWP8Azh0Pwz4,,
kos Dago / Dipatiukur Bandung,Dago / Dipatiukur,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Kost Waluya Coblong Bandung,Jl. Gagak No.70,4.8,+62 812-2075-855,https://mamikos.com/room/kost-bandung-kost-putra-murah-kost-waluya-coblong-bandung,https://www.google.com/maps/search/?api=1&query=Kost%20Waluya%20Coblong%20Bandung&query_place_id=ChIJaTTQqo3naC4R7PRdGvk1jY0,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost Alpha Cibeunying Kaler,Jl. Cibeunying Hegar IV No.8,4.3,+62 822-1523-6665,https://mamikos.com/room/kost-kota-bandung-kost-putra-murah-kost-alfa1-cibeunying-kaler-bandung#/,https://www.google.com/maps/search/?api=1&query=Kost%20Alpha%20Cibeunying%20Kaler&query_place_id=ChIJ_6w6KkPnaC4RpVL9vuakFag,,
kos Ciumbuleuit Bandung,Ciumbuleuit,UNPAR,Kost Raben 5A Dekat Universitas Parahyangan UNPAR ( KOST PUTRI ),"Depan obc futsal, Jl. Rancabentang I No.5a",5,+62 899-0736-339,https://msha.ke/kostan.raben5a,https://www.google.com/maps/search/?api=1&query=Kost%20Raben%205A%20Dekat%20Universitas%20Parahyangan%20UNPAR%20(%20KOST%20PUTRI%20)&query_place_id=ChIJJ5aoq37naC4Rf3JDb7op0jc,,
kos Sekeloa Bandung,Sekeloa,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Kost Kappa House Sekeloa,"Jl. Kubang Utara I No.33B/153A, RT.2/RW.07",4.6,+62 822-1523-6665,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-kappa-tipe-standart-coblong-bandung,https://www.google.com/maps/search/?api=1&query=Kost%20Kappa%20House%20Sekeloa&query_place_id=ChIJgRfaBi_naC4RxWUojbyUbcQ,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost Bu Nia,Jl. Ranca Bentang II No.1,5,+62 821-1695-9928,https://mamikos.com/room/kost-kota-bandung-kost-campur-murah-kost-bu-nia-cidadap-bandung-2,https://www.google.com/maps/search/?api=1&query=Kost%20Bu%20Nia&query_place_id=ChIJJxE9t4rnaC4RWXfU8P538Ts,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kos Campur 700rb Kost Aesthetic,Jl. Pikitdro I No.26,4.9,+62 895-6292-51699,https://www.instagram.com/aestheticbudgetproperty?igsh=MTJvc3p6MW5jNGY5eA==,https://www.google.com/maps/search/?api=1&query=Kos%20Campur%20700rb%20Kost%20Aesthetic&query_place_id=ChIJr0vrPQDnaC4RK4AAQEojs34,,
kos Tubagus Ismail Bandung,Tubagus Ismail,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Cool Kost Bandung Murah,Jl. Tubagus Ismail VIII Atas No.38,4.4,+62 822-6149-1981,https://kostbandungmurah.com/,https://www.google.com/maps/search/?api=1&query=Cool%20Kost%20Bandung%20Murah&query_place_id=ChIJ7Y_rXSTnaC4RTEv04ptD8Mo,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Mamikost Kost Pak Nizar,Jl. Kaum No.145,5,+62 813-1368-7650,https://mamikos.com/room/kost-bandung-kost-campur-murah-kost-pak-nizar-kiaracondong-bandung,https://www.google.com/maps/search/?api=1&query=Mamikost%20Kost%20Pak%20Nizar&query_place_id=ChIJydLuJtjnaC4Rj4qGUQFXGzM,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost Putri Pondok Assyifa 2,Jl. Kebun Binatang No.29,5,+62 818-201-721,https://mamikos.com/room/kost-kost-putri-eksklusif-kost-pondok-assyifa-2-tamansari-1,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Pondok%20Assyifa%202&query_place_id=ChIJ2zDGpMTnaC4RBLCo_CnRZ1Y,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Rumah Kost Kelinci,Jl. Kelinci No.11,4.2,+62 877-2208-0869,http://rumahkostkelinci.blogspot.com/,https://www.google.com/maps/search/?api=1&query=Rumah%20Kost%20Kelinci&query_place_id=ChIJ4RuzO8T1aS4R8fUArripD_w,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost An-Nisa (khusus putri),"Gg. Tilil I No.251/144c, RT.004/RW.001",5,+62 822-1411-9419,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-annisa-kost-cibeunying-kaler-bandung-1#/,https://www.google.com/maps/search/?api=1&query=Kost%20An-Nisa%20(khusus%20putri)&query_place_id=ChIJD7wczMHnaC4R5Ctd45Q14ig,,
kos Antapani Bandung,Antapani,Lainnya / Umum,Rumah Kita Kost,"bekas asrama dharma husada, jl.antapani lama no.50, sebelah smpn No.49 Kel",4.5,+62 878-2186-2692,https://goo.gl/maps/acY2TTkzgWq,https://www.google.com/maps/search/?api=1&query=Rumah%20Kita%20Kost&query_place_id=ChIJ4YaFnPLnaC4R8-ePmnLhcHw,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost Mamih iis (Kost Khusus Putri),Jl. Babakan Sari Gg. Temon No.22/135A,5,+62 822-4594-6258,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-mamih-iis-kiaracondong-bandung,https://www.google.com/maps/search/?api=1&query=Kost%20Mamih%20iis%20(Kost%20Khusus%20Putri)&query_place_id=ChIJZR5PQ9_naC4RnHjQLofwFfY,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Graha Puralima,Jl. Purawinata No.5,4.5,+62 22 4238976,https://mamikos.com/room/kost-bandung-kost-campur-eksklusif-kost-graha-puralima-lengkong-bandung,https://www.google.com/maps/search/?api=1&query=Graha%20Puralima&query_place_id=ChIJhec42ijmaC4RXIMhcakAu7c,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kosan Bu Cucu,"Jl. Kaum Kidul, RT. 04/01 . No 27A",4,+62 815-7378-0097,https://mamikos.com/room/kost-kota-bandung-kost-campur-murah-kost-ibu-cucu-sukamulya-cinambo-bandung,https://www.google.com/maps/search/?api=1&query=Kosan%20Bu%20Cucu&query_place_id=ChIJkZdbIl7daC4R0J28nZ7cCZ0,,
kos Cibiru / Panyileukan Bandung,Cibiru / Panyileukan,UIN Sunan Gunung Djati,Kost Putri Zahra UIN Bandung,Jl. Desa Cipadung No.104,4.9,+62 857-7751-72788,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-zahra-cibiru-bandung#/,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Zahra%20UIN%20Bandung&query_place_id=ChIJCfISMT3DaC4RDkWtZ6cHSbE,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost Hidayah,Jl. Sakola II,4.5,+62 877-0065-0152,https://mamikos.com/room/kost-kota-bandung-kost-campur-murah-kost-hidayah-panyileukan-bandung-1,https://www.google.com/maps/search/?api=1&query=Kost%20Hidayah&query_place_id=ChIJr-mgNFvDaC4RL12TRY3cFEY,,
kos Cibiru / Panyileukan Bandung,Cibiru / Panyileukan,UIN Sunan Gunung Djati,Kos Kamila Panyileukan,Komp. Bumi Panyileukan No.e12 No 9,5,+62 878-2407-5689,http://instagram.com/houseofshina,https://www.google.com/maps/search/?api=1&query=Kos%20Kamila%20Panyileukan&query_place_id=ChIJLcG-iunDaC4Ri4W2od8JJVE,,
kos Cibiru / Panyileukan Bandung,Cibiru / Panyileukan,UIN Sunan Gunung Djati,Kost Putri G-Homes Panyileukan,Bumi Panyileukan Blok Kav. IV RT 03/12,4.8,+62 877-2246-8680,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-g-homes-panyileukan-bandung#/,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20G-Homes%20Panyileukan&query_place_id=ChIJu1X0p07DaC4RwdyRP8tC1AQ,,
kos Buah Batu Bandung,Buah Batu,Telkom University / ISBI,Kost Orchid Buah Batu Bandung,Jl. Kencana Wangi I No.16,4.7,+62 896-1076-8228,http://www.instagram.com/kost_orchidbuahbatubandung,https://www.google.com/maps/search/?api=1&query=Kost%20Orchid%20Buah%20Batu%20Bandung&query_place_id=ChIJBT4Rg_3paC4RJMbFM0FHQDI,,
kos Dago / Dipatiukur Bandung,Dago / Dipatiukur,ITB Ganesha,Rumah kost dekat ITB 2.1/1.8 jt. bayar 6 bulan sekaligus dapat diskon,Jl. Dagopojok No.19,4.3,+62 811-9440-583,http://thecastilla.weebly.com/,https://www.google.com/maps/search/?api=1&query=Rumah%20kost%20dekat%20ITB%202.1%2F1.8%20jt.%20bayar%206%20bulan%20sekaligus%20dapat%20diskon&query_place_id=ChIJuX6-pePmaC4RP-Rb84yS3o4,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,KOSAN 22-24 khusus Putra,"Jl. Sukarajin II No.22-24, RT.001/RW.12",4.9,+62 896-6806-7938,https://mamikos.com/room/kost-bandung-kost-putra-murah-kost-pondok-abdul-aziz-tipe-a-cibeunying-kidul-bandung-1,https://www.google.com/maps/search/?api=1&query=KOSAN%2022-24%20khusus%20Putra&query_place_id=ChIJYddWUM_naC4RtbXhjEg5xYw,,
kos Sukajadi / Pasteur Bandung,Sukajadi / Pasteur,Maranatha / ITB Ganesha,Kost Bu Eka,"No.42 B, Jl. Babakan Jeruk 1 No.42B",4.9,+62 895-4013-45070,https://www.99.co/id/properti/kost-disewa-1jt-sukajadi-1007956432?utm_source=copy-link&utm_medium=social&utm_campaign=ldp,https://www.google.com/maps/search/?api=1&query=Kost%20Bu%20Eka&query_place_id=ChIJgQDBsZvnaC4ROdkFi33AIPs,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kosan Barokah 32 ( Tidak meminta DP transferan) - Astanaanyar - Otista,Gg. Adikacih II No.32,4.9,+62 821-2535-5660,https://m.facebook.com/Kostan-Barokah-32-Siti-Munigar-Astanaanyar-Otista-102816938900193/,https://www.google.com/maps/search/?api=1&query=Kosan%20Barokah%2032%20(%20Tidak%20meminta%20DP%20transferan)%20-%20Astanaanyar%20-%20Otista&query_place_id=ChIJQS1ueU_paC4R_uw1WySKzhw,,
kos Bandung Selatan / Timur Bandung,Bandung Selatan / Timur,Lainnya / Umum,Kost Vanda,Jl. Raya Kopo Jl. Pakasih No.3C,4.8,+62 852-9511-0002,https://mamikos.com/room/kost-kota-bandung-kost-campur-murah-kost-vanda-bojongloa-kidul-bandung,https://www.google.com/maps/search/?api=1&query=Kost%20Vanda&query_place_id=ChIJXzGUbh_paC4RuffrCHVM-8A,,
kos Tubagus Ismail Bandung,Tubagus Ismail,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Kost Sigma 19A,Jl. Tubagus Ismail Dalam No.19a,4.5,+62 822-1523-6666,https://mamikos.com/room/kost-kota-bandung-kost-putra-eksklusif-kost-sigma-tubagus-ismail-dago-coblong-bandung-rmz,https://www.google.com/maps/search/?api=1&query=Kost%20Sigma%2019A&query_place_id=ChIJYRtF693naC4RTwrkAxJDkoA,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost by Q,"2JQQ+WQH, Gg. Kujang VII",4.5,+62 858-7107-0080,https://mamikos.com/room/kost-bandung-kost-campur-murah-kost-by-q-bandung-kidul,https://www.google.com/maps/search/?api=1&query=Kost%20by%20Q&query_place_id=ChIJeZ7_DjHpaC4RSkH3go814c8,,
kos Sukajadi / Pasteur Bandung,Sukajadi / Pasteur,Maranatha / ITB Ganesha,Kost Ibu Yadi Gojali Tipe B Sukajadi Bandung,Jl. Sukagalih Gg Hj Gojali No.215 RT 05,5,+62 815-4315-6708,https://kostibuyadi.web.app/,https://www.google.com/maps/search/?api=1&query=Kost%20Ibu%20Yadi%20Gojali%20Tipe%20B%20Sukajadi%20Bandung&query_place_id=ChIJ440v5crnaC4RCod2us0z7Vk,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,KOST ZIEP PUTRA REGOL KOTA BANDUNG,Jl. Moch. Ramdan Gg. Ancol Kawung No.49,5,+62 881-0235-19303,https://www.instagram.com/kost_ziep?igsh=MXJsZXh6eW1idDVwMA==&utm_source=qr.%20https://www.tiktok.com/@kost.pria.khusus.pekerja?_r=1&_t=ZS-94ydNvN59dJ,https://www.google.com/maps/search/?api=1&query=KOST%20ZIEP%20PUTRA%20REGOL%20KOTA%20BANDUNG&query_place_id=ChIJMSb9BrnpaC4RjcVjBdHAEYM,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost Putra Batununggal Bandung,Jl. Parakan Waas V No.1,4.9,+62 812-1178-6700,https://www.instagram.com/kost.putra_batununggal,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20Batununggal%20Bandung&query_place_id=ChIJ_XKXgUTpaC4RZ-6IFWH8ufk,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost Cemara 455,"Jl. Cemara No.455/181, RT.02/RW.03",4.6,+62 819-1037-1955,https://mamikos.com/room/kost-bandung-kost-campur-murah-kost-keluarga-cemara-sukajadi-bandung#/,https://www.google.com/maps/search/?api=1&query=Kost%20Cemara%20455&query_place_id=ChIJqWmYegjnaC4RQFCw5voh-tc,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost Putri Pondok Kabumi,"3P45+XF8, Jl. Anyelir 1",4.7,+62 819-0500-0156,http://wa.me/6285966295444,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Pondok%20Kabumi&query_place_id=ChIJ3xymtd3CaC4RCnRUCDd5wg0,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,BBG Guesthouse - Kost Eksklusif Harian-Mingguan-Bulanan,Jl. Suryalaya No.31,4.3,+62 812-2001-2820,https://www.instagram.com/guesthousebbg/,https://www.google.com/maps/search/?api=1&query=BBG%20Guesthouse%20-%20Kost%20Eksklusif%20Harian-Mingguan-Bulanan&query_place_id=ChIJ59GXi2HoaC4Rc37jQuF-KCM,,
